Order ID,Product,Quantity Ordered,Price Each,Order Date,Street Address,City,State
182436,AAA Batteries (4-pack),6,2.99,2021-01-08 09:11:00,642 Highland St,San Francisco,CA
182437,AA Batteries (4-pack),2,3.84,2021-01-15 22:25:00,317 Center St,New York City,NY
182438,Flatscreen TV,1,300.0,2021-01-18 09:07:00,488 Adams St,San Francisco,CA
182446,USB-C Charging Cable,2,11.95,2021-01-20 23:35:00,882 Jackson St,San Francisco,CA
182456,AAA Batteries (4-pack),4,2.99,2021-01-21 17:10:00,352 5th St,New York City,NY
182463,AAA Batteries (4-pack),3,2.99,2021-01-09 00:52:00,264 Jackson St,Austin,TX
182466,Lightning Charging Cable,1,14.95,2021-01-09 14:35:00,960 Adams St,San Francisco,CA
182470,AAA Batteries (4-pack),1,2.99,2021-01-02 14:09:00,713 Center St,San Francisco,CA
182476,iPhone,1,700.0,2021-01-09 22:35:00,466 Church St,Boston,MA
182478,ThinkPad Laptop,1,999.99,2021-01-16 13:19:00,128 Highland St,Dallas,TX
182479,AA Batteries (4-pack),2,3.84,2021-01-16 13:19:00,434 13th St,New York City,NY
182480,AA Batteries (4-pack),4,3.84,2021-01-09 21:45:00,768 Johnson St,Atlanta,GA
182484,Lightning Charging Cable,1,14.95,2021-01-07 22:10:00,759 Adams St,Austin,TX
182495,USB-C Charging Cable,1,11.95,2021-01-28 09:53:00,759 West St,New York City,NY
182497,iPhone,1,700.0,2021-01-31 16:40:00,400 West St,Atlanta,GA
182502,27in FHD Monitor,1,149.99,2021-01-28 19:08:00,490 Chestnut St,Atlanta,GA
182505,AAA Batteries (4-pack),2,2.99,2021-01-01 15:50:00,611 Meadow St,Dallas,TX
182514,AAA Batteries (4-pack),1,2.99,2021-01-27 17:51:00,66 Sunset St,Boston,MA
182522,Bose SoundSport Headphones,1,99.99,2021-01-03 15:03:00,106 Johnson St,San Francisco,CA
182533,Bose SoundSport Headphones,1,99.99,2021-01-14 15:48:00,239 Hickory St,Boston,MA
182536,Apple Airpods Headphones,1,150.0,2021-01-31 23:18:00,537 Adams St,Atlanta,GA
182546,34in Ultrawide Monitor,1,379.99,2021-01-15 13:51:00,535 1st St,Boston,MA
182552,Apple Airpods Headphones,1,150.0,2021-01-04 21:36:00,201 9th St,San Francisco,CA
182554,Wired Headphones,1,11.99,2021-01-17 17:53:00,481 10th St,San Francisco,CA
182561,27in 4K Gaming Monitor,1,389.99,2021-01-27 21:22:00,214 Pine St,San Francisco,CA
182564,AA Batteries (4-pack),4,3.84,2021-01-05 10:22:00,875 Park St,Austin,TX
182569,AAA Batteries (4-pack),4,2.99,2021-01-11 10:36:00,851 Pine St,Boston,MA
182572,Google Phone,1,600.0,2021-01-13 12:14:00,154 10th St,Portland,OR
182572,USB-C Charging Cable,2,11.95,2021-01-13 12:14:00,154 10th St,Portland,OR
182575,USB-C Charging Cable,1,11.95,2021-01-08 09:33:00,419 South St,New York City,NY
182591,Google Phone,1,600.0,2021-01-22 00:18:00,916 Church St,Portland,OR
182592,Wired Headphones,2,11.99,2021-01-05 15:06:00,292 South St,Boston,MA
182598,27in 4K Gaming Monitor,1,389.99,2021-01-17 20:42:00,48 Lincoln St,Dallas,TX
182602,AA Batteries (4-pack),4,3.84,2021-01-24 01:33:00,375 13th St,Atlanta,GA
182603,iPhone,1,700.0,2021-01-15 22:04:00,936 South St,New York City,NY
182606,Bose SoundSport Headphones,1,99.99,2021-01-19 00:09:00,207 Center St,Portland,OR
182616,Bose SoundSport Headphones,1,99.99,2021-01-09 16:10:00,232 Elm St,Portland,OR
182619,27in FHD Monitor,1,149.99,2021-01-14 12:03:00,553 Adams St,Los Angeles,CA
182640,Google Phone,1,600.0,2021-01-12 18:52:00,352 Hickory St,Seattle,WA
182649,27in FHD Monitor,1,149.99,2021-01-27 20:18:00,744 Lincoln St,Seattle,WA
182650,Lightning Charging Cable,2,14.95,2021-01-04 01:32:00,547 Willow St,Los Angeles,CA
182654,AAA Batteries (4-pack),2,2.99,2021-01-08 20:03:00,467 7th St,Seattle,WA
182656,Vareebadd Phone,1,400.0,2021-01-04 10:18:00,279 Madison St,Boston,MA
182659,Apple Airpods Headphones,1,150.0,2021-01-05 14:12:00,431 2nd St,Austin,TX
182665,Wired Headphones,1,11.99,2021-01-02 12:14:00,40 4th St,Portland,OR
182666,USB-C Charging Cable,2,11.95,2021-01-13 18:28:00,530 Dogwood St,Atlanta,GA
182683,Google Phone,1,600.0,2021-01-20 11:19:00,764 13th St,Los Angeles,CA
182686,27in FHD Monitor,1,149.99,2021-01-18 15:40:00,3 Washington St,San Francisco,CA
182691,AAA Batteries (4-pack),1,2.99,2021-01-13 08:18:00,956 2nd St,Los Angeles,CA
182696,AAA Batteries (4-pack),2,2.99,2021-01-10 16:58:00,332 Chestnut St,Austin,TX
182703,AAA Batteries (4-pack),2,2.99,2021-01-28 03:29:00,320 Ridge St,Austin,TX
182704,Lightning Charging Cable,2,14.95,2021-01-17 17:52:00,561 13th St,Boston,MA
182708,Wired Headphones,1,11.99,2021-01-23 13:14:00,515 5th St,San Francisco,CA
182715,27in FHD Monitor,1,149.99,2021-01-09 20:36:00,275 Highland St,San Francisco,CA
182718,Bose SoundSport Headphones,1,99.99,2021-01-07 19:01:00,799 Highland St,Boston,MA
182737,20in Monitor,1,109.99,2021-01-27 12:58:00,317 Hickory St,Atlanta,GA
182741,Macbook Pro Laptop,1,1700.0,2021-01-11 16:09:00,71 Ridge St,Atlanta,GA
182746,USB-C Charging Cable,2,11.95,2021-01-30 09:26:00,139 Main St,Dallas,TX
182750,Wired Headphones,2,11.99,2021-01-06 06:50:00,597 Cherry St,Seattle,WA
182760,USB-C Charging Cable,2,11.95,2021-01-10 13:59:00,721 Meadow St,Los Angeles,CA
182770,USB-C Charging Cable,2,11.95,2021-01-26 23:20:00,2 Hickory St,Atlanta,GA
182771,Apple Airpods Headphones,1,150.0,2021-01-22 18:37:00,778 12th St,Los Angeles,CA
182782,ThinkPad Laptop,1,999.99,2021-01-26 12:49:00,433 Wilson St,Dallas,TX
182788,Lightning Charging Cable,2,14.95,2021-01-18 11:29:00,589 4th St,Portland,OR
182789,iPhone,1,700.0,2021-01-10 23:13:00,53 Wilson St,Dallas,TX
182793,Wired Headphones,2,11.99,2021-01-25 10:15:00,527 Pine St,New York City,NY
182801,LG Dryer,1,600.0,2021-01-29 11:39:00,487 13th St,Atlanta,GA
182804,20in Monitor,1,109.99,2021-01-30 21:06:00,51 River St,Los Angeles,CA
182812,AA Batteries (4-pack),4,3.84,2021-01-17 17:12:00,241 Forest St,Portland,OR
182818,Apple Airpods Headphones,1,150.0,2021-01-27 12:32:00,688 Sunset St,Portland,ME
182823,27in 4K Gaming Monitor,1,389.99,2021-01-29 13:55:00,670 Lincoln St,New York City,NY
182842,Lightning Charging Cable,2,14.95,2021-01-11 21:56:00,593 Chestnut St,Seattle,WA
182847,34in Ultrawide Monitor,1,379.99,2021-01-31 19:11:00,465 Dogwood St,Portland,OR
182848,Lightning Charging Cable,1,14.95,2021-01-25 10:28:00,839 Hickory St,San Francisco,CA
182850,AAA Batteries (4-pack),2,2.99,2021-01-04 14:09:00,496 Walnut St,Atlanta,GA
182853,AA Batteries (4-pack),1,3.84,2021-01-04 09:44:00,180 Pine St,Los Angeles,CA
182855,AAA Batteries (4-pack),2,2.99,2021-01-05 21:41:00,155 Johnson St,New York City,NY
182864,Bose SoundSport Headphones,1,99.99,2021-01-23 11:10:00,213 River St,Atlanta,GA
182865,USB-C Charging Cable,2,11.95,2021-01-04 09:47:00,562 Pine St,Boston,MA
182875,Wired Headphones,1,11.99,2021-01-17 07:52:00,584 6th St,San Francisco,CA
182878,USB-C Charging Cable,2,11.95,2021-01-28 14:36:00,540 Spruce St,New York City,NY
182891,AAA Batteries (4-pack),2,2.99,2021-01-31 14:23:00,711 Wilson St,Los Angeles,CA
182894,Lightning Charging Cable,2,14.95,2021-01-14 10:57:00,140 Maple St,Los Angeles,CA
182898,Wired Headphones,2,11.99,2021-01-18 06:48:00,863 Washington St,Los Angeles,CA
182902,27in FHD Monitor,1,149.99,2021-01-12 17:15:00,919 Park St,Austin,TX
182904,USB-C Charging Cable,1,11.95,2021-01-12 21:34:00,4 Center St,New York City,NY
182906,Apple Airpods Headphones,1,150.0,2021-01-22 07:53:00,537 Highland St,Seattle,WA
182911,Bose SoundSport Headphones,1,99.99,2021-01-27 14:25:00,299 Chestnut St,Dallas,TX
182913,iPhone,1,700.0,2021-01-28 10:37:00,513 Lincoln St,San Francisco,CA
182913,Wired Headphones,1,11.99,2021-01-28 10:37:00,513 Lincoln St,San Francisco,CA
182916,Lightning Charging Cable,2,14.95,2021-01-07 13:45:00,668 5th St,San Francisco,CA
182918,AAA Batteries (4-pack),4,2.99,2021-01-17 16:16:00,8 9th St,Atlanta,GA
182926,iPhone,1,700.0,2021-01-08 14:23:00,985 5th St,Seattle,WA
182934,Wired Headphones,1,11.99,2021-01-27 19:56:00,594 Wilson St,Atlanta,GA
182965,USB-C Charging Cable,2,11.95,2021-01-12 13:13:00,972 Elm St,Boston,MA
182972,27in FHD Monitor,1,149.99,2021-01-23 19:45:00,41 7th St,Atlanta,GA
182975,LG Dryer,1,600.0,2021-01-29 12:46:00,568 Center St,San Francisco,CA
182996,Bose SoundSport Headphones,1,99.99,2021-01-28 08:51:00,949 Highland St,Los Angeles,CA
183000,Vareebadd Phone,1,400.0,2021-01-30 09:24:00,69 Center St,Boston,MA
183002,Apple Airpods Headphones,1,150.0,2021-01-21 17:44:00,833 Lakeview St,Boston,MA
183011,USB-C Charging Cable,1,11.95,2021-01-08 23:09:00,169 Elm St,Seattle,WA
183012,Wired Headphones,1,11.99,2021-01-02 18:30:00,436 Hill St,Atlanta,GA
183013,ThinkPad Laptop,1,999.99,2021-01-12 21:15:00,67 Adams St,Portland,OR
183034,AA Batteries (4-pack),2,3.84,2021-01-25 09:28:00,33 8th St,Austin,TX
183053,Apple Airpods Headphones,1,150.0,2021-01-12 18:25:00,424 14th St,Atlanta,GA
183058,USB-C Charging Cable,1,11.95,2021-01-09 11:52:00,784 River St,Seattle,WA
183064,AAA Batteries (4-pack),1,2.99,2021-01-29 21:18:00,246 Hill St,Atlanta,GA
183078,AA Batteries (4-pack),2,3.84,2021-01-22 18:35:00,924 Ridge St,San Francisco,CA
183084,Wired Headphones,2,11.99,2021-01-09 21:23:00,607 River St,Atlanta,GA
183097,USB-C Charging Cable,1,11.95,2021-01-14 15:42:00,155 Willow St,Seattle,WA
183098,27in FHD Monitor,1,149.99,2021-01-18 20:33:00,323 14th St,Portland,OR
183100,AA Batteries (4-pack),2,3.84,2021-01-22 14:27:00,627 Cedar St,San Francisco,CA
183108,Macbook Pro Laptop,1,1700.0,2021-01-31 11:10:00,638 Hill St,San Francisco,CA
183116,Flatscreen TV,1,300.0,2021-01-27 13:18:00,114 Cedar St,Portland,OR
